Frequency,Average Rel Power,-,Cal Rel Power
1418.8,0.01839,0.007815,2.353178
1418.801172,0.018224,0.007816,2.331698
1418.802344,0.018147,0.00781,2.323673
1418.803516,0.018156,0.007785,2.332289
1418.804688,0.018207,0.007767,2.344162
1418.805859,0.018223,0.007753,2.350629
1418.807031,0.018247,0.007731,2.360185
1418.808203,0.018273,0.007725,2.365277
1418.809375,0.018201,0.007707,2.361537
1418.810547,0.018114,0.007675,2.360219
1418.811719,0.018044,0.00766,2.355678
1418.812891,0.017953,0.007654,2.345495
1418.814062,0.017991,0.007639,2.355056
1418.815234,0.017965,0.007621,2.357392
1418.816406,0.017935,0.007606,2.357816
1418.817578,0.017953,0.00759,2.365288
1418.81875,0.017986,0.007586,2.370883
1418.819922,0.01807,0.007571,2.386581
1418.821094,0.018059,0.007556,2.389978
1418.822266,0.017924,0.007555,2.372561
1418.823437,0.017904,0.007543,2.373684
1418.824609,0.01791,0.007528,2.378994
1418.825781,0.017776,0.007513,2.366002
1418.826953,0.017725,0.007492,2.365927
1418.828125,0.01775,0.007482,2.372411
1418.829297,0.017651,0.007488,2.357254
1418.830469,0.017651,0.007485,2.35806
1418.831641,0.017623,0.007471,2.358875
1418.832813,0.017671,0.007458,2.369471
1418.833984,0.017706,0.007455,2.375123
1418.835156,0.01767,0.007447,2.372704
1418.836328,0.017651,0.007434,2.374443
1418.8375,0.017576,0.007433,2.364685
1418.838672,0.017589,0.00743,2.367312
1418.839844,0.017695,0.007412,2.387257
1418.841016,0.017671,0.007408,2.385273
1418.842187,0.017641,0.007415,2.379007
1418.843359,0.017569,0.007407,2.37211
1418.844531,0.017519,0.007407,2.365169
1418.845703,0.017638,0.007408,2.38095
1418.846875,0.017677,0.00739,2.392124
1418.848047,0.017632,0.007384,2.387742
1418.849219,0.017598,0.007382,2.384017
1418.850391,0.017672,0.00738,2.394439
1418.851562,0.017771,0.007395,2.403071
1418.852734,0.017783,0.007405,2.401583
1418.853906,0.017735,0.007402,2.395941
1418.855078,0.017756,0.007401,2.399228
1418.85625,0.017738,0.007407,2.394623
1418.857422,0.017661,0.007407,2.384283
1418.858594,0.017631,0.007408,2.379894
1418.859766,0.017684,0.007416,2.384672
1418.860937,0.017679,0.007421,2.3823
1418.862109,0.017648,0.007432,2.374501
1418.863281,0.017763,0.007466,2.379214
1418.864453,0.01789,0.007477,2.392535
1418.865625,0.017835,0.007463,2.389693
1418.866797,0.017777,0.007465,2.381372
1418.867969,0.017753,0.007498,2.36769
1418.869141,0.017817,0.00752,2.369474
1418.870312,0.017992,0.007516,2.393828
1418.871484,0.018042,0.00753,2.395878
1418.872656,0.018012,0.007553,2.384654
1418.873828,0.018055,0.007564,2.386938
1418.875,0.0181,0.007572,2.3904
1418.876172,0.018077,0.007587,2.382751
1418.877344,0.01809,0.007604,2.378913
1418.878516,0.018222,0.007627,2.389211
1418.879688,0.01829,0.00764,2.394006
1418.880859,0.018368,0.007651,2.400749
1418.882031,0.018295,0.007665,2.386887
1418.883203,0.018276,0.00769,2.376478
1418.884375,0.018373,0.007713,2.382092
1418.885547,0.018387,0.007738,2.376292
1418.886719,0.018454,0.00777,2.37501
1418.887891,0.018553,0.007794,2.380499
1418.889062,0.018624,0.007816,2.382974
1418.890234,0.018719,0.007842,2.387001
1418.891406,0.018848,0.007864,2.39674
1418.892578,0.01885,0.007893,2.388201
1418.89375,0.018832,0.007933,2.374025
1418.894922,0.018882,0.007971,2.368789
1418.896094,0.01896,0.007986,2.374177
1418.897266,0.01892,0.008009,2.362267
1418.898438,0.018941,0.008047,2.353728
1418.899609,0.019195,0.008088,2.373404
1418.900781,0.019373,0.00812,2.385783
1418.901953,0.019487,0.008145,2.392426
1418.903125,0.019557,0.008184,2.389575
1418.904297,0.019541,0.008233,2.373456
1418.905469,0.019619,0.008275,2.370981
1418.906641,0.019631,0.008306,2.363588
1418.907812,0.019582,0.008336,2.349204
1418.908984,0.019619,0.008367,2.344674
1418.910156,0.019808,0.008391,2.360659
1418.911328,0.020004,0.008427,2.373893
1418.9125,0.020099,0.008477,2.37102
1418.913672,0.020214,0.008519,2.372852
1418.914844,0.02032,0.008547,2.377333
1418.916016,0.02042,0.008585,2.378537
1418.917187,0.020516,0.008628,2.377718
1418.918359,0.020607,0.008663,2.378717
1418.919531,0.02062,0.008709,2.367718
1418.920703,0.020733,0.008757,2.367514
1418.921875,0.020975,0.008803,2.382609
1418.923047,0.021101,0.008849,2.384602
1418.924219,0.021099,0.008878,2.376594
1418.925391,0.021185,0.008935,2.370925
1418.926563,0.021315,0.008993,2.370099
1418.927734,0.021401,0.009036,2.368485
1418.928906,0.021475,0.009074,2.366751
1418.930078,0.021588,0.009103,2.371585
1418.93125,0.021771,0.009145,2.380717
1418.932422,0.021809,0.009203,2.369721
1418.933594,0.021808,0.009244,2.35904
1418.934766,0.022034,0.009288,2.372324
1418.935937,0.022216,0.009337,2.379241
1418.937109,0.022296,0.009373,2.378736
1418.938281,0.02243,0.009427,2.379265
1418.939453,0.022545,0.009493,2.375021
1418.940625,0.022711,0.009548,2.378488
1418.941797,0.022761,0.009595,2.372199
1418.942969,0.022877,0.009639,2.373436
1418.944141,0.022976,0.00968,2.373463
1418.945312,0.023156,0.009732,2.379302
1418.946484,0.023397,0.009799,2.387679
1418.947656,0.023419,0.009855,2.376292
1418.948828,0.023461,0.009898,2.370302
1418.95,0.023646,0.00996,2.374085
1418.951172,0.023909,0.010013,2.387776
1418.952344,0.024032,0.01006,2.388782
1418.953516,0.024085,0.01012,2.379988
1418.954687,0.024198,0.010176,2.377871
1418.955859,0.024353,0.010222,2.382497
1418.957031,0.024495,0.010285,2.38155
1418.958203,0.024543,0.010342,2.373099
1418.959375,0.024589,0.010373,2.370485
